"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"!!! [[RT]] @mayasolovely: As a woman you shouldn't [[complain]] about [[cleaning]] up your house. &amp; as a man you should always take the trash out...","!!! [[TCH]] @mayasolovely: As a woman you shouldn't [[bitching]] about [[laundering]] up your house. &amp; as a man you should always take the trash out...",0.07367563247680664,0.9980776309967041,2,1,2,94,"Successful"
"!!!!! RT @mleew17: [[boy]] dats cold...tyga dwn bad for cuffin dat [[hoe]] in the 1st place!!","!!!!! RT @mleew17: [[muchachos]] dats cold...tyga dwn bad for cuffin dat [[biatch]] in the 1st place!!",0.03624945878982544,0.5518680810928345,1,2,1,75,"Successful"
"!!!!!!! RT @UrKindOfBrand [[Dawg]]!!!! [[RT]] @80sbaby4life: You ever fuck a [[bitch]] and she [[start]] to [[cry]]? You [[be]] [[confused]] as [[shit]]","!!!!!!! RT @UrKindOfBrand [[Mens]]!!!! [[TCH]] @80sbaby4life: You ever fuck a [[dickhead]] and she [[lancer]] to [[weeping]]? You [[constituted]] [[disorganized]] as [[friggin]]",0.033399105072021484,0.5260299444198608,1,0,1,283,"Successful"
"!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a [[tranny]]","!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a [[gearing]]",0.42644184827804565,0.9866982102394104,1,2,1,21,"Successful"
"!!!!!!!!!!!!! [[RT]] @ShenikaRoberts: The [[shit]] you [[hear]] about me [[might]] [[be]] [[true]] or it [[might]] [[be]] [[faker]] than the [[bitch]] who [[told]] it to [[ya]] &#57361;","!!!!!!!!!!!!! [[TCH]] @ShenikaRoberts: The [[motherfucking]] you [[fathom]] about me [[threats]] [[sean]] [[staunch]] or it [[threats]] [[sean]] [[fraudulent]] than the [[whore]] who [[counseled]] it to [[wouldnt]] &#57361;",0.009558796882629395,0.5285204648971558,1,0,1,352,"Successful"
"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The [[shit]] just [[blows]] me..[[claim]] you [[so]] [[faithful]] and down for [[somebody]] but [[still]] [[fucking]] with [[hoes]]! &#128514;&#128514;&#128514;""","!!!!!!!!!!!!!!!!!!""@T_Madison_x: The [[fucking]] just [[strikes]] me..[[arguing]] you [[conversely]] [[trusty]] and down for [[persons]] but [[conversely]] [[damned]] with [[whores]]! &#128514;&#128514;&#128514;""",0.028424739837646484,0.31538766622543335,1,1,1,237,"Failed"
"!!!!!!""@__BrighterDays: I can not just [[sit]] up and [[HATE]] on another [[bitch]] .. I [[got]] too [[much]] [[shit]] [[going]] on!""","!!!!!!""@__BrighterDays: I can not just [[assis]] up and [[HATRED]] on another [[whore]] .. I [[learn]] too [[muy]] [[bugger]] [[evaporate]] on!""",0.011592090129852295,0.34818410873413086,1,1,1,228,"Failed"
"!!!!&#8220;@selfiequeenbri: cause I'm tired of you big [[bitches]] coming for us skinny girls!!&#8221;","!!!!&#8220;@selfiequeenbri: cause I'm tired of you big [[harlots]] coming for us skinny girls!!&#8221;",0.009239792823791504,0.9185764193534851,1,2,1,43,"Successful"
""" &amp; you might not get ya [[bitch]] back &amp; thats that """,""" &amp; you might not get ya [[blackguard]] back &amp; thats that """,0.007197856903076172,0.9412347078323364,1,2,1,58,"Successful"
""" @rhythmixx_ :hobbies include: fighting Mariam""<SPLIT><SPLIT>[[bitch]]",""" @rhythmixx_ :hobbies include: fighting Mariam""<SPLIT><SPLIT>[[wanker]]",0.007624447345733643,0.9455676674842834,1,2,1,57,"Successful"
