"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"And i didn't wanna come off as a bitch, so [[I]] took another hit, now [[I]] think I'm feeling to high","And i didn't wanna come off as a bitch, so [[they]] took another hit, now [[my]] think I'm feeling to high",0.006243109703063965,0.0063942670822143555,1,1,1,20,"Failed"
"[[RT]] @[[MenstruaI]]: [[rt]] if ur a [[sassy]] ass [[bitch]]","[[rob]] @[[co]]: [[fuck]] if ur a [[white]] ass [[u]]",0.03767162561416626,0.5715442895889282,1,0,1,178,"Successful"
"RT @zachpiecowiak: @Eddie_Sativa87 you're a fucking [[queer]]","RT @zachpiecowiak: @Eddie_Sativa87 you're a fucking [[bitch]]",0.4761025905609131,0.942766547203064,0,1,0,53,"Successful"
"@nosfiend215 @[[faggot696969]] [[niggers]]","@nosfiend215 @[[wee]] [[c]]",0.2917296886444092,0.9780157208442688,0,2,0,55,"Successful"
"RT @[[Icewataa]]: You fuck a girl longer then 30 min &amp; you still [[aint]] bust...she [[gotta]] busted loose ass pussy...","RT @[[fuck]]: You fuck a girl longer then 30 min &amp; you still [[fucking]] bust...she [[be]] busted loose ass pussy...",0.029015839099884033,0.08975082635879517,1,1,1,96,"Failed"
"RT @GucciManeQuote1: Gucci, you conceited [[bitch]] I might be<SPLIT>'Cause my chain so bright, Stevie Wonder might see","RT @GucciManeQuote1: Gucci, you conceited [[thing]] I might be<SPLIT>'Cause my chain so bright, Stevie Wonder might see",0.007908821105957031,0.9705365896224976,1,2,1,37,"Successful"
"@[[stinachase]] [[hoe]] [[ass]] [[nigga]] [[lmao]]","@[[see]] [[ss]] [[ss]] [[jon]] [[ness]]",0.1795639991760254,0.9632652997970581,1,2,1,158,"Successful"
"One of my [[favorite]] songs. ""[[There's]] a man on the shoreline with a white parakeet trying to make his [[bird]] go home."" http://t.co/bQ3CBIPk6s","One of my [[better]] songs. ""[[aka]] a man on the shoreline with a white parakeet trying to make his [[way]] go home."" http://t.co/bQ3CBIPk6s",0.015166044235229492,0.048369765281677246,2,2,2,60,"Failed"
"Just lets you know we all self conscious even the pretty [[bitches]]","Just lets you know we all self conscious even the pretty [[stuff]]",0.011108875274658203,0.9698600769042969,1,2,1,36,"Successful"
"@BreezyPetey at least he went up and wasn't a [[bitch]]","@BreezyPetey at least he went up and wasn't a [[job]]",0.009219825267791748,0.9234042763710022,1,2,1,42,"Successful"
"@phreshagu_25 yeah you right and you know them Mexicans bringing all they family that hoe finna be packed","@phreshagu_25 yeah you right and you know them Mexicans bringing all they family that hoe finna be packed",0.8305843472480774,0.8305843472480774,1,1,0,1,"Skipped"
"@tori_santana hell yea went from I love you to fuck you and that basic [[bitch]]","@tori_santana hell yea went from I love you to fuck you and that basic [[fuck]]",0.025123119354248047,0.08841288089752197,1,1,1,30,"Failed"
"The ugliest [[bitches]] swear they bad.. But &#128564;","The ugliest [[children]] swear they bad.. But &#128564;",0.012796461582183838,0.9004250764846802,1,2,1,40,"Successful"
"not fun @[[DPD_UK]] when you have braxton hicks and cramps [[regularly]] from [[moving]] around. You try it!","not fun @[[d]] when you have braxton hicks and cramps [[right]] from [[going]] around. You try it!",0.04833954572677612,0.11746424436569214,2,2,2,43,"Failed"
"RT @ItsGirllCode: when other girls wear beanies they look [[cute]] &amp; stylish but when i wear them i [[look]] like a member of a drug cartel who sel&#8230;","RT @ItsGirllCode: when other girls wear beanies they look [[hip]] &amp; stylish but when i wear them i [[see]] like a member of a drug cartel who sel&#8230;",0.261322557926178,0.4191051125526428,2,2,2,75,"Failed"
"You [[know]] the head [[good]] when it feel like she has a pussy stuffed down her throat","You [[see]] the head [[bad]] when it feel like she has a pussy stuffed down her throat",0.009733736515045166,0.011727750301361084,1,1,1,17,"Failed"
