"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"RT @iEatLightSkins_: you [[bitches]] make everything a relationship goal.","RT @iEatLightSkins_: you [[bitces]] make everything a relationship goal.",0.007931113243103027,0.9869749546051025,1,2,1,12,"Successful"
"RT @TommyShiner: Never snapchat will bishop. He is a screenshotting son of a [[bitch]]","RT @TommyShiner: Never snapchat will bishop. He is a screenshotting son of a [[bitc]]",0.008142948150634766,0.9867885708808899,1,2,1,14,"Successful"
"If you one of my [[hoes]] .... make yourself known","If you one of my [[holes]] .... make yourself known",0.008304178714752197,0.9838985800743103,1,2,1,10,"Successful"
"RT @lmfaohilarious: Never go full retard http://t.co/LMk3TX5ViC","RT @lmfaohilarious: Never go full retard http://t.co/LMk3TX5ViC",0.8404685258865356,0.8404685258865356,1,1,0,1,"Skipped"
"@AllFucksGiven_ [[like]] a [[hoe]] [[gettin]] [[dick]] all [[day]] and then [[tonight]] she [[gettin]] more","@AllFucksGiven_ [[liWe]] a [[ghoe]] [[glttin]] [[Uick]] all [[dya]] and then [[Mtonight]] she [[geNtin]] more",0.09347105026245117,0.7339617013931274,1,0,1,41,"Successful"
"[[RT]] @[[Huntermoore]]: [[If]] she doesn't [[take]] it in the [[ass]], [[tell]] the [[bitch]] you'll [[pass]].","[[RE]] @[[Huntdermoore]]: [[fI]] she doesn't [[ake]] it in the [[ss]], [[Zell]] the [[btch]] you'll [[paCss]].",0.011273562908172607,0.5986666679382324,1,2,1,39,"Successful"
"Pretty over this whole [[Yankees]] thing, [[id]] [[rather]] [[lose]] in the [[ALCS]] every [[year]] then live in Detroit.. I [[miss]] the real [[Steinbrenner]] #[[glorydays]]","Pretty over this whole [[Yankes]] thing, [[di]] [[rahter]] [[olse]] in the [[lLCS]] every [[yFar]] then live in Detroit.. I [[imss]] the real [[Steinbenner]] #[[glorygays]]",0.014705061912536621,0.40018725395202637,2,2,2,82,"Failed"
"Vice [[News]] [[interview]] with the [[Canadian]] [[Jihadi]] has the [[poem]] I [[translated]] [[f4]] u as its [[sound]] [[track]] [[http]]://t.co/[[7gebzU4Paz]] [[http]]://t.co/WwL05Orih6","Vice [[Nws]] [[niterview]] with the [[CanadQan]] [[Jhiadi]] has the [[pBoem]] I [[twanslated]] [[wf4]] u as its [[soGund]] [[tarck]] [[thtp]]://t.co/[[7gebzUP4az]] [[htpt]]://t.co/WwL05Orih6",0.017610669136047363,0.6626211404800415,2,1,2,83,"Successful"
"My dawg @ceomiamimike told me it's a must I be @901k2lounge this Saturday ROCKIN that [[bitch]] wit Tha&#8230; http://t.co/0NV9cHtwOs","My dawg @ceomiamimike told me it's a must I be @901k2lounge this Saturday ROCKIN that [[bitcjh]] wit Tha&#8230; http://t.co/0NV9cHtwOs",0.008373498916625977,0.9644760489463806,1,2,1,21,"Successful"
"This hangover a [[bitch]]. &#57608;","This hangover a [[bFitch]]. &#57608;",0.007165193557739258,0.9851390719413757,1,2,1,9,"Successful"
