"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"I'll [[keep]] all [[comments]] to myself about [[tho]].... I'll just laugh about it with my nigs","I'll [[conservancy]] all [[observation]] to myself about [[shou]].... I'll just laugh about it with my nigs",0.03541630506515503,0.1975388526916504,1,1,1,71,"Failed"
"&#8220;@surfboard101: @Vomitdatruth lmfaooooo!!!!! [[U]] [[bitch]]&#8221; I'm [[using]] that [[shit]] from now on.","&#8220;@surfboard101: @Vomitdatruth lmfaooooo!!!!! [[wu]] [[dickhead]]&#8221; I'm [[exploited]] that [[whorehouse]] from now on.",0.012058436870574951,0.28447872400283813,1,1,1,155,"Failed"
"@heydenbunsyolo @jordan536633 @bird_lovin yea native and black proud then a [[bitch]]","@heydenbunsyolo @jordan536633 @bird_lovin yea native and black proud then a [[puta]]",0.011095702648162842,0.9674402475357056,1,2,1,58,"Successful"
"RT @LMAOAtBASICS: [[Bitches]] twerk to anything , [[rock]] , [[country]]..these [[bitches]] a twerk to [[gospel]], to [[take]] me to the king &#128553;&#128553;","RT @LMAOAtBASICS: [[Faggots]] twerk to anything , [[rocker]] , [[fatherland]]..these [[cocksuckers]] a twerk to [[religions]], to [[adopts]] me to the king &#128553;&#128553;",0.010716438293457031,0.5430590510368347,1,0,1,226,"Successful"
"@trix2343 I have something that you don't [[bitch]]. Always remember that.","@trix2343 I have something that you don't [[dipshit]]. Always remember that.",0.007277786731719971,0.9873797297477722,1,2,1,34,"Successful"
"Living with my [[bitches]], hashtag live http://t.co/9jKAYWGeVZ","Living with my [[fairies]], hashtag live http://t.co/9jKAYWGeVZ",0.0075699687004089355,0.9877905249595642,1,2,1,57,"Successful"
"@YungIll314 my [[lifestyles]] [[raw]] [[dog]], one [[magnum]] [[will]] [[put]] a dickhead in the hole, and that was cumin out of the [[pussy]] [[lips]]","@YungIll314 my [[subsistence]] [[gross]] [[terriers]], one [[wesson]] [[hope]] [[lodged]] a dickhead in the hole, and that was cumin out of the [[kitty]] [[mouth]]",0.025599420070648193,0.5355585813522339,1,0,1,121,"Successful"
"RT @Lyl_HOE: I [[heard]] ""[[Love]] [[Dont]] [[Love]] You"" by [[En]] [[Vogue]] at [[work]] lastnight .. [[Shit]] [[groovy]] as a [[bitch]] ..","RT @Lyl_HOE: I [[overheard]] ""[[Likes]] [[Infact]] [[Darling]] You"" by [[Fr]] [[Fashion]] at [[workplace]] lastnight .. [[Whorehouse]] [[copacetic]] as a [[whore]] ..",0.00807565450668335,0.26775306463241577,1,1,1,320,"Failed"
"Shiiiit @Pontiac_Holmes, drops you a couple extra dollars on that [[hoe]]. Get her a Brazilian. Gotsta spend money to make money!","Shiiiit @Pontiac_Holmes, drops you a couple extra dollars on that [[biatch]]. Get her a Brazilian. Gotsta spend money to make money!",0.017662644386291504,0.9402053356170654,1,2,1,38,"Successful"
"Keep dem POO [[hoes]] off ya TL b....","Keep dem POO [[coppers]] off ya TL b....",0.008650779724121094,0.9831375479698181,1,2,1,58,"Successful"
