"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Behind]] [[every]] [[independent]] woman, [[is]] [[a]] [[pack]] [[of]] [[hating]] hoes","woman, hoes",0.09477229416370392,0.8987741470336914,1,1,1,20,"Maximized"
"[[Life]] [[is]] a bitch, [[but]] [[every]] [[dog]] has [[its]] [[day]]","a bitch, has ",0.09917889535427094,0.79899001121521,1,1,1,18,"Maximized"
"&#[[8220]];@[[THQcheerios]]: &#8220;@[[TropicalBlanket]]: &#128522; [[http]]://[[t]].[[co]]/YWj1I0wMa9&#[[8221]]; go to sleep bitch&#8221;[[stfu]]","&#;@: &#8220;@: &#128522;://./YWj1I0wMa9&#; go to sleep bitch&#8221;",0.06195215880870819,0.562037467956543,1,1,1,26,"Maximized"
"@[[TheIronPony]] [[You]] rebel. [[Next]] you'll [[be]] [[ripping]] [[mattress]] tags [[off]]. It's a [[slippery]] slope.","@rebel. you'll tags. It's a slope.",0.06990157067775726,0.6407569646835327,2,2,2,23,"Maximized"
"[[Fuck]] that [[niggah]] he so weak [[he]] [[cant]] tell that you a freak","that he so weak tell that you a freak",0.060044050216674805,0.3587264120578766,1,1,1,25,"Maximized"
"@_n1k_nak Status Report: Making a pit stop in Canada to rape bitches","@_n1k_nak Status Report: Making a pit stop in Canada to rape bitches",0.0,0.0,1,1,0,1,"Skipped"
"[[You]] [[fuck]] up , I [[try]] [[to]] be [[nice]]. I [[fuck]] [[up]] , [[you]] go [[ape]] shit [[and]] [[stay]] [[mad]]. [[Wtf]] haha","up , I be. I , go shit. haha",0.046371135860681534,0.6995272040367126,1,1,1,34,"Maximized"
"@_[[IAmDriven_]] @HDRealtor [[not]] even [[sure]] [[bro]], [[Im]] ignoring these [[hurt]] bitches [[tonight]]...[[lol]]","@_@HDRealtor even, ignoring these bitches...",0.07617150992155075,0.6916300654411316,1,1,1,23,"Maximized"
"[[Met]] [[a]] [[foreign]] bitch at [[Wesley]] . &#[[128064]];&#128064; [[she]] [[better]] [[call]] me","bitch at . &#;&#128064; me",0.08275190740823746,0.7494347095489502,1,1,1,21,"Maximized"
"[[With]] birds [[ill]] [[share]] [[this]] lonely [[view]]","birds lonely ",0.14027704298496246,0.8506890535354614,2,2,2,13,"Maximized"
"@[[TexasHumor]] drinking [[a]] bitch beer [[outta]] [[a]] [[badass]] [[kuzie]]","@drinking bitch beer ",0.10900149494409561,0.7765621542930603,1,1,1,17,"Maximized"
"[[Act]] like [[I'm]] Casper [[get]] [[ghost]] [[with]] a bitch","like Casper a bitch",0.11029336601495743,0.6652951240539551,1,1,1,16,"Maximized"
"[[RT]] @[[xobeauty___]]: if i [[was]] [[to]] [[really]] [[be]] straight [[bold]] bitches will [[hate]] [[me]] man","@: if i straight bitches will man",0.06578128784894943,0.6661522388458252,1,1,1,26,"Maximized"
"@[[CayMarieee]] bitch [[I'm]] [[talm]] [[bout]] [[at]] [[like]] 10 &#[[9995]];&#[[128514]];","@bitch 10 &#;&#;",0.09937915205955505,0.8993468880653381,1,1,1,19,"Maximized"
"[[RT]] @sportspickle: [[Yankees]] [[didn't]] want [[Russell]] [[Martin]], [[so]] he [[signed]] with [[the]] [[Pirates]] [[2]] years [[ago]]. [[Pirates]] [[have]] made [[back-to-back]] postseasons&#[[8230]];","@sportspickle: want, he with years. made postseasons&#;",0.044855888932943344,0.7263110876083374,2,2,2,38,"Maximized"
"[[Nigga]] ended [[up]] [[going]] [[Juco]] messing [[with]] them hoes and then [[signed]] [[a]] [[the]] smallest of [[d1's]] [[moral]] [[of]] [[the]] [[story]] take what u [[can]] [[get]]","ended messing them hoes and then smallest of take what u ",0.03648441657423973,0.6147889494895935,1,1,1,44,"Maximized"
